Date,Year,Start of Year,End of Year,Month,Start of Month,End of Month,Days in Month,Day,Day Name,Day of Week,Day of Year,Month Name,Quarter
29-Dec-19,2019,1-Jan-19,31-Dec-19,12,1-Dec-19,31-Dec-19,31,29,Sunday,6,363,December,4
30-Dec-19,2019,1-Jan-19,31-Dec-19,12,1-Dec-19,31-Dec-19,31,30,Monday,0,364,December,4
31-Dec-19,2019,1-Jan-19,31-Dec-19,12,1-Dec-19,31-Dec-19,31,31,Tuesday,1,365,December,4
1-Jan-20,2020,1-Jan-20,31-Dec-20,1,1-Jan-20,31-Jan-20,31,1,Wednesday,2,1,January,1
2-Jan-20,2020,1-Jan-20,31-Dec-20,1,1-Jan-20,31-Jan-20,31,2,Thursday,3,2,January,1
3-Jan-20,2020,1-Jan-20,31-Dec-20,1,1-Jan-20,31-Jan-20,31,3,Friday,4,3,January,1
4-Jan-20,2020,1-Jan-20,31-Dec-20,1,1-Jan-20,31-Jan-20,31,4,Saturday,5,4,January,1
5-Jan-20,2020,1-Jan-20,31-Dec-20,1,1-Jan-20,31-Jan-20,31,5,Sunday,6,5,January,1
6-Jan-20,2020,1-Jan-20,31-Dec-20,1,1-Jan-20,31-Jan-20,31,6,Monday,0,6,January,1
7-Jan-20,2020,1-Jan-20,31-Dec-20,1,1-Jan-20,31-Jan-20,31,7,Tuesday,1,7,January,1
